2000044310460	2000044310538
2000044311443	2005024143946
2005024144004	2005024144042
2005024144127	2005024144127
2005024144141	2005024144158
2005026142213	2005026142312
2005026142442	2005026142466
2005026142893	2005026143319
2005026143364	2005026143470
2005027144193	2005028146646
2005029142364	2005029142364
2005029142401	2005029142487
2005029142579	2005029142579
2005029142708	2005029142708
2005029142746	2005029142753
2005031142154	2005031142185
2005031142239	2005031149405
2005031149443	2005031149535
2005031149573	2005031149573
2005031149672	2005031149689
2005032144300	2005033145856
2005033146754	2005033146785
2005033146808	2005033147898
2005034147255	2005034147316
2005045087137	2090000139259
