2000044311047	2000044311221
2005024143977	2005024143984
2005024144059	2005024144103
2005024144134	2005024144134
2005025143174	2005026141780
2005026142336	2005026142428
2005026142824	2005026142886
2005026143333	2005026143357
2005026145955	2005026146518
2005029142289	2005029142333
2005029142395	2005029142395
2005029142500	2005029142562
2005029142654	2005029142692
2005029142739	2005029142739
2005029142869	2005031141751
2005031142192	2005031142222
2005031149412	2005031149436
2005031149542	2005031149566
2005031149597	2005031149665
2005032144270	2005032144294
2005033145917	2005033145979
2005033146792	2005033146792
2005034143080	2005034147187
2005034149051	2005045087113
